exposure,Method,TP,TN,FP,FN,P_err,P_egp,P_egn
20,Raw,16915,10939,4,6,0.000358938021192959,,
20,Den,16919,10943,0,2,7.17876042385917e-05,0,0.000107672836277045
20,Amb,7,6,0,0,,,
20,E,0,3,0,0,,,
16,Raw,18653,9461,5,15,0.000710964448646937,,
16,Den,18659,9465,1,9,0.000355482224323468,0.1,3.55553798895e-05
16,Amb,1,4,0,4,,,
16,E,1,0,0,1,,,
14,Raw,20619,7251,11,28,0.00139738789961303,,
14,Den,20630,7261,1,17,0.000644948726128671,0,0
14,Amb,0,0,0,1,,,
14,E,0,0,0,0,,,
12,Raw,19687,7894,25,51,0.00274788925893046,,
12,Den,19705,7916,3,33,0.00130158806738443,0.0833333333333333,0
12,Amb,0,65,0,21,,,
12,E,0,0,0,3,,,
10,Raw,16342,11304,68,78,0.00525331031591826,,
10,Den,16353,11351,21,68,0.00320267656474833,0.213483146067416,0.000685897513356
10,Amb,20,5213,15,58,,,
10,E,16,3,12,7,,,
8,Raw,15498,11831,157,207,0.0131427534400578,,
8,Den,15514,11953,35,191,0.00816118546181987,0.216814159292035,0.00335036636996
8,Amb,168,11749,29,183,,,
8,E,84,8,25,24,,,
