delta,amp_lo,amp_hi,N_total,N_keep,N_erasure,Erasure_frac,Erasure_atom,Erasure_bkd,Erasure_TP,Erasure_TN,Erasure_FP,Erasure_FN,Keep_TP,Keep_TN,Keep_FP,Keep_FN,F1_data,F0_data,f_kept,F_data,N_error,N_correct,N_erase_error,N_erase_correct,P_erase_given_error,P_erase_given_correct,mean_dist_to_thld,median_dist_to_thld,eps_atom_cdf,eps_bkd_cdf,eps_cdf,F1_cdf,F0_cdf,F1_cond_cdf,F0_cond_cdf,f_kept_cdf,F_cdf,P_erase_error_cdf,P_erase_correct_cdf,eps_atom_loss,eps_loss,F1_loss,F0_loss,F1_cond_loss,F0_cond_loss,f_kept_loss,F_loss_cdf,P_erase_error_loss,P_erase_correct_loss
0.0,0.2,0.2,21996,21996,0,0.0,0,0,0,0,0,0,7976,13453,270,297,0.9641000846125952,0.9803250018217591,0.3761138388797963,0.9742225859247136,567,21429,0,0,0.0,0.0,,,0.0,0.0,0.0,0.9131616974476164,0.99997461898657,0.9131616974476164,0.99997461898657,0.3761138388797963,0.9673230778021837,0.0,0.0,0.0,0.0,0.9127105527115271,0.99997461898657,0.9127105527115271,0.99997461898657,0.3761138388797963,0.9671533960236027,0.0,0.0
0.01923297,0.18076703000000002,0.21923297,21996,21903,93,0.004228041462084015,35,58,16,33,25,19,7960,13420,245,278,0.9662539451323137,0.982070984266374,0.3761128612518833,0.9761219924211295,567,21429,44,49,0.07760141093474426,0.0022866209342479816,0.00989397849462337,0.012272500000001185,0.003409406178553953,0.00011237477872871882,0.0013524339154242164,0.9114444930986033,0.9998828126009582,0.9145626085067204,0.9999951868388091,0.3753391354101947,0.9679289967517791,0.019870073997774962,0.0007268937022898788,0.0034220302467994484,0.00135718200219431,0.9109864043226004,0.9998828126009582,0.9141145318998004,0.9999951868388091,0.3753361654354114,0.9677610711289198,0.019832467302223766,0.0007297216819430923
0.03846594,0.16153406,0.23846594000000002,21996,21824,172,0.007819603564284416,68,104,31,65,39,37,7945,13388,231,260,0.9683120048750762,0.9830384022321756,0.37596224340175954,0.9775018328445748,567,21429,76,96,0.13403880070546736,0.004479910401791964,0.01850776162790687,0.01601666666666582,0.006819149486711862,0.00047337163585969844,0.0028601065040220895,0.9097021193349326,0.9995258301108075,0.9159481063945074,0.9999992013686178,0.3746205169655673,0.9685119367178945,0.03913826775241954,0.0016346021406948396,0.0068432705561742024,0.0028691787720554565,0.9092386386082313,0.9995258301108075,0.9155036779717646,0.9999992013686178,0.37461482702983173,0.9683459254865106,0.03907103037115296,0.0016396862349079748
0.0576989,0.1423011,0.2576989,21996,21647,349,0.015866521185670123,134,215,63,153,62,71,7913,13300,208,226,0.9722324609902937,0.9846017175007403,0.37598743474846397,0.9799510324756318,567,21429,133,216,0.2345679012345679,0.01007979840403192,0.03399017669531984,0.03891083333333442,0.010229565065147939,0.0016833527116913993,0.0048977014478318774,0.9079344136341234,0.9983165315464684,0.9173181796381752,0.9999998840629969,0.37409858105513855,0.9690687757584507,0.058059013224474015,0.003101871193470429,0.010267412341799384,0.004911936332344398,0.9074639812599451,0.9983165315464684,0.9168779451903158,0.9999998840629969,0.3740896274411417,0.9689048289179303,0.05797160632783775,0.003109916120632532
0.07693187,0.12306813000000001,0.27693187,21996,21505,491,0.022322240407346792,170,321,73,249,72,97,7903,13204,198,200,0.9753177835369616,0.9852260856588568,0.3767960939316438,0.9814926761218321,567,21429,169,322,0.2980599647266314,0.01502636613934388,0.04412887135098427,0.0440891666666656,0.013640992943426633,0.00525243499141026,0.00840748772540878,0.9061412142645515,0.9947475503469643,0.9186728237709286,0.9999999852609587,0.37412875557795605,0.9695731555380064,0.07668687528127165,0.006100957171059955,0.01369035149155573,0.008426052158427148,0.9056645495001193,0.9947475503469643,0.9182355164726602,0.9999999852609587,0.3741170378993901,0.9694105043924633,0.07656368543173753,0.006111951969957354
0.09616484,0.10383516000000001,0.29616484,21996,21349,647,0.029414438988907075,217,430,99,351,79,118,7877,13102,191,179,0.977780536246276,0.9856315353945686,0.3773478851468453,0.9826689774696707,567,21429,197,450,0.3474426807760141,0.020999580008399833,0.05417789541473456,0.056894166666665524,0.01705376718587169,0.014429180570138533,0.015416323917654462,0.9043223659075605,0.9855708178080215,0.9200120369946672,0.9999999983544156,0.375488330770615,0.9699654522616992,0.0950333313942569,0.012726799787984175,0.017115703422961162,0.015439618993551955,0.9038398946194305,0.9855708178080215,0.9195791384266838,0.9999999983544156,0.3754735545852086,0.969804092214551,0.0948928998735992,0.012741215139083469
0.11539781,0.08460219000000001,0.31539781,21996,20988,1008,0.04582651391162029,279,729,115,647,82,164,7861,12806,188,133,0.9833625218914186,0.9855317839002616,0.380884314846579,0.9847055460263007,567,21429,246,762,0.43386243386243384,0.03555928881422372,0.07280091435185167,0.08143916666666778,0.020468222769131406,0.034986842639239346,0.029526188784656557,0.9024777161017807,0.9650131572041608,0.9213358229715433,0.9999999998377226,0.37962431626843957,0.9701371654800797,0.11310194225768092,0.026702935151478598,0.02054276842032625,0.029554226435699243,0.9019881615311579,0.9650131572041608,0.9209061227476228,0.9999999998377226,0.379606392673521,0.9699754584729869,0.11293144798065519,0.026722557138978215
0.13463077,0.06536923,0.33463077,21996,20587,1409,0.06405710129114385,314,1095,131,1004,91,183,7845,12449,179,114,0.9856765925367509,0.9858251504592968,0.3866031961917715,0.985767717491621,567,21429,274,1135,0.48324514991181655,0.05296560735451958,0.0876834740951027,0.0983941666666655,0.023884691817986567,0.07511121932479226,0.05584421341172609,0.9006071172422363,0.9248887806620136,0.9226441893628234,0.9999999999857344,0.3888452318619006,0.9699205618682033,0.130895027458931,0.05330893882996446,0.0239706617986446,0.055876547911179804,0.9001120865606638,0.9248887806620136,0.922218268786271,0.9999999999857344,0.3888243009301747,0.9697565727269642,0.1307007269143122,0.05333535828636978
0.15386374,0.04613626000000001,0.35386374,21996,19560,2436,0.11074740861974905,371,2065,163,1964,101,208,7813,11489,169,89,0.9887370286003544,0.9855035168982673,0.4039877300613497,0.9868098159509203,567,21429,309,2127,0.544973544973545,0.0992580148397032,0.11254812021072773,0.1260608333333322,0.027303510498197153,0.14334492915763442,0.09970014571657583,0.898710422783398,0.8566550708413959,0.923937150470956,0.9999999999988681,0.40635862484128843,0.9690912050631959,0.1484147922737812,0.09805452725468543,0.027403143278369763,0.09973761898400482,0.898208297205812,0.8566550708413959,0.9235155254700672,0.9999999999988681,0.40633391462071566,0.968921764055872,0.14820519317789446,0.09809155619625187
0.17309671,0.026903290000000024,0.37309671,21996,18316,3680,0.16730314602655028,408,3272,183,3168,104,225,7793,10285,166,72,0.9908455181182454,0.9841163525021529,0.4294059838392662,0.9870058964839485,567,21429,329,3351,0.5802469135802469,0.15637687246255075,0.13049063813405773,0.1439058333333325,0.030725008145717866,0.24444469997531204,0.16406176623707633,0.8967874931812503,0.7555553000246258,0.9252147230845615,0.9999999999999177,0.4361060702720385,0.9673856867701556,0.16566342351028368,0.16400766101483447,0.030836107683796785,0.16410355231084095,0.8962790410433416,0.7555553000246258,0.924796154860171,0.9999999999999177,0.4360778814773521,0.9672052665324262,0.16542357839623117,0.16405872139338404
