tau_lo,tau_hi,delta,N_total,N_keep,N_erasure,Erasure_frac,Erasure_atom,Erasure_bkd,Erasure_TP,Erasure_TN,Erasure_FP,Erasure_FN,Keep_TP,Keep_TN,Keep_FP,Keep_FN,F1_data,F0_data,f_kept,F_data,N_error,N_correct,N_erase_error,N_erase_correct,P_erase_given_error,P_erase_given_correct,F1_cdf,F0_cdf,eps_atom_cdf,eps_bkd_cdf,eps_cdf,F1_cond_cdf,F0_cond_cdf,f_kept_cdf,F_cdf,P_erase_error_cdf,P_erase_correct_cdf,F_loss_data,N_erasure_loss,F_loss_cdf,P_erase_error_loss_cdf,P_erase_correct_loss_cdf
0.5,0.5,0.0,21996,21996,0,0.0,0,0,0,0,0,0,7921,13507,216,352,0.9574519521334461,0.9842600014574072,0.3761138388797963,0.9741771231132933,568,21428,0,0,0.0,0.0,0.9786628,0.9979352,0.0,0.0,0.0,0.9786628,0.9979352,0.3761138388797963,0.990686583651573,0.0,0.0,0.9741771231132933,0,0.9906870260774686,0.0,0.0
0.495,0.505,0.0050000000000000044,21996,21994,2,9.092562284051645e-05,1,1,0,1,0,1,7921,13506,216,351,0.9575676982591876,0.9842588543944032,0.376102573429117,0.9742202418841504,568,21428,1,1,0.0017605633802816902,4.666791114429718e-05,0.9785875,0.9978869,0.000151,9.39e-05,0.00011537610020003638,0.9787352890286434,0.9979806103793146,0.37610043869202525,0.9907424365765582,0.0061117236061175,5.900460813176138e-05,0.9742202418841504,2,0.9907420273362326,0.006019413175692915,5.870086217733833e-05
0.49,0.51,0.010000000000000009,21996,21994,2,9.092562284051645e-05,1,1,0,1,0,1,7921,13506,216,351,0.9575676982591876,0.9842588543944032,0.376102573429117,0.9742202418841504,568,21428,1,1,0.0017605633802816902,4.666791114429718e-05,0.9785125,0.9978395,0.0002987,0.0001865,0.00022869997272231314,0.9788048690143746,0.998025631780327,0.37608750487822984,0.9907969430698236,0.012075499785690478,0.00011732854519378179,0.9742202418841504,2,0.9907957288497073,0.0118960015491356,0.0001167581190917587
0.485,0.515,0.015000000000000013,21996,21991,5,0.00022731405710129114,2,3,0,2,1,2,7921,13505,215,350,0.9576834723733527,0.98432944606414,0.3761084079850848,0.9743076713200856,568,21428,3,2,0.00528169014084507,9.333582228859437e-05,0.9784366,0.9977932,0.0004567,0.0002741,0.0003427783869794508,0.9788836561657709,0.998066770101685,0.37607097669236034,0.9908525577078049,0.018157633613613132,0.0001753014405358684,0.9743076713200856,5,0.9908479500977719,0.01761219405819611,0.0001761088826654685
0.48,0.52,0.020000000000000018,21996,21987,9,0.0004091653027823241,3,6,0,3,3,3,7921,13504,213,349,0.9577992744860944,0.9844718232849748,0.37613135034338474,0.9744394414881521,568,21428,6,3,0.01056338028169014,0.00014000373343289155,0.978362,0.9977424,0.0006079,0.0003653,0.00045654521731223856,0.9789571080259689,0.9981070084902015,0.37605688624999606,0.990905556549625,0.023957365843620404,0.00023561467213844138,0.9744394414881521,9,0.990899000444154,0.02320091215809244,0.00023609335757809785
0.475,0.525,0.025000000000000022,21996,21983,13,0.000591016548463357,6,7,0,4,3,6,7921,13503,213,346,0.9581468489173823,0.9844706911636045,0.37606332165764456,0.9745712596096985,568,21428,9,4,0.01584507042253521,0.00018667164457718873,0.9782877,0.9976942,0.0007543,0.0004577,0.0005692553646117475,0.979026179447157,0.9981510537372955,0.37604420139010175,0.9909592556581743,0.029829923674022128,0.00029417665546612446,0.9745724163027656,12,0.9909534534562496,0.029154616669114918,0.00029373300003721856
0.47,0.53,0.030000000000000027,21996,21977,19,0.0008637934169849063,11,8,1,5,3,10,7920,13502,213,342,0.9586056644880174,0.9844695588771418,0.375938481139373,0.9747463257041453,568,21428,13,6,0.022887323943661973,0.0002800074668657831,0.9782174,0.9976449,0.0009038,0.0005489,0.0006823828014184397,0.9791023126701913,0.9981928080323289,0.37603050394091475,0.9910141994408226,0.0358351363798476,0.0003519127665232139,0.9747463257041453,19,0.9910068269225086,0.03499030206636784,0.0003515802818187676
0.46499999999999997,0.535,0.03500000000000003,21996,21975,21,0.0009547190398254228,13,8,2,5,3,11,7919,13502,213,341,0.9587167070217918,0.9844695588771418,0.3758816837315131,0.9747895335608645,568,21428,14,7,0.02464788732394366,0.0003266753780100803,0.9781445,0.997592,0.0010531,0.0006418,0.0007964956219312602,0.9791756698979696,0.9982326657248622,0.3760172494890607,0.9910669065705096,0.041599996633764284,0.0004129030714033762,0.9747895335608645,21,0.9910598945662326,0.04079325736963951,0.00041116765518902526
0.46,0.54,0.04000000000000001,21996,21972,24,0.0010911074740861974,15,9,4,6,3,11,7917,13501,213,341,0.9587067086461613,0.9844684264255505,0.3758419807027125,0.9747860913890407,568,21428,14,10,0.02464788732394366,0.00046667911144297183,0.9780691,0.9975404,0.0012083,0.0007307,0.0009103319694489908,0.9792523305910532,0.9982698357689964,0.37600166686619224,0.9911192221224533,0.04732129547394671,0.00047402382378315737,0.9747860913890407,24,0.9911110985808884,0.0463964261719093,0.0004741486628468071
0.455,0.545,0.04500000000000001,21996,21971,25,0.0011365702855064557,16,9,5,6,3,11,7916,13501,213,341,0.9587017076420007,0.9844684264255505,0.3758135724363934,0.9747849437895408,568,21428,14,11,0.02464788732394366,0.000513347022587269,0.9779911,0.997485,0.001359,0.0008203,0.0010229125250045463,0.979321998596092,0.9983039086963035,0.3759873022935174,0.991166951525347,0.05254820480299159,0.0005385247202454408,0.9747849437895408,25,0.9911600470616765,0.051755383864431445,0.0005383569668042081
0.45,0.55,0.05000000000000002,21996,21967,29,0.0013184215311874887,18,11,7,7,4,11,7914,13500,212,341,0.9586917019987886,0.9845390898483081,0.3757909591660218,0.974825875176401,568,21428,15,14,0.02640845070422535,0.0006533507560201606,0.9779188,0.9974297,0.0015053,0.0009157,0.0011374567194035279,0.979393080403932,0.9983438834941155,0.3759753303840058,0.9912188490412415,0.05822284203178373,0.0006007986384341365,0.974825875176401,29,0.9912138883513998,0.05764048927740896,0.0006003566449677464
0.44,0.56,0.060000000000000026,21996,21966,30,0.001363884342607747,19,11,8,7,4,11,7913,13500,212,341,0.9586866973588564,0.9845390898483081,0.37576254211053445,0.9748247291268324,568,21428,15,15,0.02640845070422535,0.0007000186671644577,0.9777668,0.9973163,0.001816,0.0011021,0.0013706076695762866,0.9795456549093154,0.9984166549954705,0.37594609074371116,0.9913221762846562,0.06952191339884144,0.0007299191860338296,0.9748247291268324,30,0.9913156734097568,0.06877313669630634,0.0007291188977598952
0.43,0.5700000000000001,0.07000000000000003,21996,21959,37,0.0016821240225495544,22,15,9,9,6,13,7912,13498,210,339,0.9589140710216943,0.9846804785526699,0.3757457079101963,0.974998861514641,568,21428,19,18,0.03345070422535211,0.0008400224005973493,0.9776211,0.9971941,0.0021151,0.0012916,0.0016013297463175124,0.9796932491913647,0.9984837416006513,0.3759202928463609,0.9914200141914249,0.08022511808746106,0.0008621897520999204,0.974998861514641,37,0.991416438896984,0.07979195639831878,0.0008595327199728819
0.42,0.58,0.07999999999999999,21996,21958,38,0.0017275868339698126,22,16,9,9,7,13,7912,13498,209,339,0.9589140710216943,0.9847523163347195,0.37576281992895527,0.975043264413881,568,21428,20,18,0.035211267605633804,0.0008400224005973493,0.9774693,0.9970641,0.0024202,0.001487,0.001837989434442626,0.9798407104875219,0.9985489422771662,0.3758944582095942,0.9915166216245384,0.09079700736568107,0.0010016882412973724,0.975043264413881,38,0.9915138921001865,0.09045428817841589,0.0009972217840486578
0.41000000000000003,0.59,0.08999999999999997,21996,21955,41,0.0018639752682305874,25,16,10,9,7,15,7911,13498,209,337,0.9591416100872939,0.9847523163347195,0.37567752220450923,0.9751309496697791,568,21428,22,19,0.03873239436619718,0.0008866903117416465,0.9773251,0.9969299,0.0027319,0.001686,0.002079377464084379,0.9800023684704243,0.9986135624663182,0.375867904733937,0.9916182119744847,0.10190215797675876,0.0011409463484176755,0.9751309496697791,41,0.9916091712451112,0.1008790122759327,0.0011374660182432795
0.4,0.6,0.09999999999999998,21996,21948,48,0.002182214948172395,30,18,11,11,7,19,7910,13496,209,333,0.9596020866189494,0.9847500912075885,0.37556952797521415,0.9753052669947148,568,21428,26,22,0.045774647887323945,0.001026694045174538,0.9771806,0.99679,0.0030431,0.001888,0.0023224490952900526,0.980163335044875,0.9986754993427591,0.3758421611438215,0.9917178475055928,0.11279413399842131,0.0012839079328340228,0.9753063920907559,47,0.9917054844076046,0.1114162045468539,0.0012840462644626437
0.39,0.61,0.10999999999999999,21996,21941,55,0.0025004546281142026,32,23,11,14,9,21,7910,13493,207,331,0.9598349714840432,0.9848905109489051,0.3755981951597466,0.9754796955471492,568,21428,30,25,0.0528169014084507,0.0011666977786074296,0.977031,0.996644,0.0033531,0.002095,0.002568188820694672,0.9803181046366571,0.9987363526588202,0.3758178628005101,0.9918144460506011,0.12335800357150971,0.0014326472135022185,0.9754796955471492,55,0.9918045689574558,0.12224997549209303,0.0014333308422598721
0.38,0.62,0.12,21996,21937,59,0.0026823058737952357,34,25,11,15,10,23,7910,13492,206,329,0.9600679694137638,0.9849613082201781,0.3755755116925742,0.9756119797602225,568,21428,33,26,0.058098591549295774,0.0012133656897517268,0.9768779,0.9964765,0.0036693,0.0023195,0.0028271784597199492,0.9804755589685231,0.9987932008293237,0.3757962073133555,0.9919095004911105,0.133762958604097,0.0015962549209193367,0.9756119797602225,59,0.9918999204492578,0.13268616417799034,0.0015949772539865736
0.37,0.63,0.13,21996,21929,67,0.0030460083651573013,39,28,13,16,12,26,7908,13491,204,326,0.9604080641243624,0.9851040525739321,0.375484518217885,0.975831091249031,568,21428,38,29,0.06690140845070422,0.0013533694231846183,0.9767293,0.9963083,0.0039909,0.0025375,0.003084143853427896,0.9806429479409375,0.9988428637668083,0.3757717402632357,0.9920038497242765,0.1440854032745995,0.001758595030709821,0.975831091249031,67,0.991990787505432,0.1426347917699578,0.0017585710340919465
0.36,0.64,0.14,21996,21926,70,0.003182396799418076,41,29,13,17,12,28,7908,13490,204,324,0.9606413994169096,0.9851029648021031,0.375444677551765,0.9759190002736478,568,21428,40,30,0.07042253521126761,0.0014000373343289155,0.976572,0.9961276,0.004321,0.0027687,0.003352541512093108,0.9808100803572236,0.9988932357016872,0.3757483629669444,0.992098519683728,0.15444666265406423,0.0019321099838816,0.9759190002736478,70,0.9920867243524636,0.1531341428444773,0.0019325794541308256
