tau_lo,tau_hi,delta,N_total,N_keep,N_erasure,Erasure_frac,Erasure_atom,Erasure_bkd,Erasure_TP,Erasure_TN,Erasure_FP,Erasure_FN,Keep_TP,Keep_TN,Keep_FP,Keep_FN,F1_data,F0_data,f_kept,F_data,N_error,N_correct,N_erase_error,N_erase_correct,P_erase_given_error,P_erase_given_correct,F1_cdf,F0_cdf,eps_atom_cdf,eps_bkd_cdf,eps_cdf,F1_cond_cdf,F0_cond_cdf,f_kept_cdf,F_cdf,P_erase_error_cdf,P_erase_correct_cdf,F_loss_data,N_erasure_loss,F_loss_cdf,P_erase_error_loss_cdf,P_erase_correct_loss_cdf
0.5,0.5,0.0,27216,27216,0,0.0,0,0,0,0,0,0,15376,11653,110,77,0.995017148773701,0.9906486440533877,0.5677910052910053,0.9931290417401528,187,27029,0,0,0.0,0.0,0.9989267,0.9998357,0.0,0.0,0.0,0.9989267,0.9998357,0.5677910052910053,0.9993195779761905,0.0,0.0,0.9931290417401528,0,0.9993151788690475,0.0,0.0
0.495,0.505,0.0050000000000000044,27216,27216,0,0.0,0,0,0,0,0,0,15376,11653,110,77,0.995017148773701,0.9906486440533877,0.5677910052910053,0.9931290417401528,187,27029,0,0,0.0,0.0,0.9989246,0.9998328,4.2e-06,6.3e-06,5.107638888888888e-06,0.9989287955009412,0.9998390989863236,0.5677915206428348,0.9993222363861118,0.003912089262217727,2.447432482730232e-06,0.9931287892706228,1,0.9993178939104534,0.0039698698985382724,2.5746467703967044e-06
0.49,0.51,0.010000000000000009,27216,27213,3,0.00011022927689594356,1,2,1,1,1,0,15375,11652,109,77,0.9950168263008025,0.9907320806053908,0.5678168522397383,0.9931650314188072,187,27029,1,2,0.0053475935828877,7.399459839431722e-05,0.9989215,0.9998285,9.9e-06,1.36e-05,1.149917328042328e-05,0.9989313894207553,0.9998420978525308,0.5677919132976512,0.9993250049695966,0.00798733006991362,6.068547162559922e-06,0.9931650314188072,3,0.9993211868502122,0.0087849282468663,5.954937855636837e-06
0.485,0.515,0.015000000000000013,27216,27213,3,0.00011022927689594356,1,2,1,1,1,0,15375,11652,109,77,0.9950168263008025,0.9907320806053908,0.5678168522397383,0.9931650314188072,187,27029,1,2,0.0053475935828877,7.399459839431722e-05,0.998919,0.9998247,1.45e-05,2.11e-05,1.7352579365079365e-05,0.9989334845355258,0.9998457967463114,0.5677926249880166,0.9993277926013407,0.012089981503659463,9.13250363914828e-06,0.9931650314188072,3,0.9993243308610034,0.013382206791243474,9.232612370584951e-06
0.48,0.52,0.020000000000000018,27216,27213,3,0.00011022927689594356,1,2,1,1,1,0,15375,11652,109,77,0.9950168263008025,0.9907320806053908,0.5678168522397383,0.9931650314188072,187,27029,1,2,0.0053475935828877,7.399459839431722e-05,0.9989169,0.9998212,1.84e-05,2.85e-05,2.276531084656085e-05,0.9989352804091595,0.9998496957163279,0.5677934839316664,0.9993304966633103,0.016069333720581325,1.183943808955794e-05,0.9931650314188072,3,0.9993274155140778,0.01789285629608898,1.2675644835145842e-05
0.475,0.525,0.025000000000000022,27216,27212,4,0.00014697236919459142,1,3,1,2,1,0,15375,11651,109,77,0.9950168263008025,0.9907312925170068,0.5678377186535352,0.99316478024401,187,27029,1,3,0.0053475935828877,0.00011099189759147582,0.9989139,0.999818,2.34e-05,3.39e-05,2.7938194444444442e-05,0.9989372751322381,0.9998518949792398,0.5677935821089828,0.9993325797000427,0.01913572740851679,1.4927981401390599e-05,0.99316478024401,4,0.9993298391554912,0.02143701738051844,1.5525910249193695e-05
0.47,0.53,0.030000000000000027,27216,27212,4,0.00014697236919459142,1,3,1,2,1,0,15375,11651,109,77,0.9950168263008025,0.9907312925170068,0.5678377186535352,0.99316478024401,187,27029,1,3,0.0053475935828877,0.00011099189759147582,0.9989105,0.9998156,2.91e-05,3.89e-05,3.333564814814815e-05,0.9989395691414621,0.9998544943398298,0.5677934103340991,0.999335005841248,0.02270654465633247,1.7897793131989672e-05,0.99316478024401,4,0.9993326789649288,0.025588788946791275,1.792500690498248e-05
0.46499999999999997,0.535,0.03500000000000003,27216,27211,5,0.00018371546149323928,1,4,1,3,1,0,15375,11650,109,77,0.9950168263008025,0.9907305042945829,0.567858586601007,0.9931645290507516,187,27029,1,4,0.0053475935828877,0.00014798919678863444,0.9989077,0.9998123,3.5e-05,4.55e-05,3.9538194444444446e-05,0.9989426629932048,0.9998577935296056,0.5677935821388751,0.9993381882842179,0.027389582076405468,2.0915951250599407e-05,0.9931645290507516,5,0.999335888621806,0.030281340119371336,2.0759156785417886e-05
0.46,0.54,0.04000000000000001,27216,27209,7,0.000257201646090535,2,5,1,3,2,1,15375,11650,108,76,0.9950812245162125,0.9908147644157169,0.5678635745525378,0.9932375316990701,187,27029,3,4,0.016042780748663103,0.00014798919678863444,0.9989053,0.9998078,3.98e-05,5.29e-05,4.546193783068783e-05,0.9989450580133089,0.9998606926306403,0.5677942202345357,0.999340800587073,0.03123440838391906,2.4225842262229023e-05,0.9932375316990701,7,0.999338373784717,0.03391584843510724,2.4209833373725133e-05
0.455,0.545,0.04500000000000001,27216,27208,8,0.00029394473838918284,2,6,1,4,2,1,15375,11649,108,76,0.9950812245162125,0.9908139831589691,0.5678844457512496,0.993237283152014,187,27029,3,5,0.016042780748663103,0.00018498649598579304,0.9989036,0.9998044,4.45e-05,5.94e-05,5.093991402116402e-05,0.9989480531883669,0.9998637919092395,0.5677946620025339,0.999343840351739,0.035706957468136846,2.666225534235312e-05,0.993237283152014,8,0.9993412859773287,0.038174047204907274,2.7444257370333463e-05
